DISCIPLINE,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e,Mini-Rifle
CHAPTER,58be6713-9388-434a-ae99-9876200e076d,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,e5e62410-a48f-4ff2-91e8-ebaa4f4caa62,Disqualification � General Regulations,10.3,,19fcb917-3b46-4fc3-880b-6e6893fc93c8,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,527cf36e-c4a4-44c0-8418-a4790ecc6d7c,Disqualification � Accidental Discharge,10.4,,19fcb917-3b46-4fc3-880b-6e6893fc93c8,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,ee3c4668-f8e2-418f-8801-67a65eda6fcb,Disqualification � Unsafe Gun Handling,10.5,,19fcb917-3b46-4fc3-880b-6e6893fc93c8,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,ee4f71d6-68f5-497a-ad8e-97bfdc04a053,Disqualification � Unsportsmanlike Conduct,10.6,,19fcb917-3b46-4fc3-880b-6e6893fc93c8,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,67f21c64-7059-4688-998c-734c411b1507,Disqualification � Prohibited Substances,10.7,,19fcb917-3b46-4fc3-880b-6e6893fc93c8,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,aefbbbda-5584-4e9e-baac-4d333999919c,General Principles,11.1,,571adeea-ab8a-4ef9-b1bf-f7070ca4fb42,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,a3b22263-62d5-49a0-90d1-b15ebb48a3c6,Composition of Committee,11.2,,571adeea-ab8a-4ef9-b1bf-f7070ca4fb42,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,03d55ff1-08bf-4ddc-afab-fc4f7f230073,Time Limits and Sequences,11.3,,571adeea-ab8a-4ef9-b1bf-f7070ca4fb42,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,bc767029-2a2a-4fc6-b0d3-0a8ec35fe15c,Fees,11.4,,571adeea-ab8a-4ef9-b1bf-f7070ca4fb42,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,bd6bafcd-12a7-4cd9-9d0b-bd4f0af949fb,Rules of Procedure,11.5,,571adeea-ab8a-4ef9-b1bf-f7070ca4fb42,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,5a8f145a-eb5a-4d87-ad67-b248acdc8749,Verdict and Subsequent Action,11.6,,571adeea-ab8a-4ef9-b1bf-f7070ca4fb42,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,267ad4b8-951e-418f-9521-4bd6282b7a67,Third Party Appeals,11.7,,571adeea-ab8a-4ef9-b1bf-f7070ca4fb42,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,60e69f59-54ef-4563-afbd-ecdae044146c,Interpretation of Rules,11.8,,571adeea-ab8a-4ef9-b1bf-f7070ca4fb42,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,af25803c-69b9-4c54-9382-f3011e6f414b,Appendices,12.1,,f59bac33-30ce-472a-83d0-b5c79b371135,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,fe49b3c7-1624-4873-b9fb-428719c865d1,Language,12.2,,f59bac33-30ce-472a-83d0-b5c79b371135,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
SECTION,b59a89d3-40f6-4c35-9c27-9e2a2a4580e5,Disclaimers,12.3,,f59bac33-30ce-472a-83d0-b5c79b371135,8a1c12b8-007b-4edd-b141-d8b1ae3c3b9e
