DISCIPLINE,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367,Action Air
CHAPTER,a4ce27e1-b12c-489b-a590-84c51e8c7aba,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,2794e429-03e0-49e2-b79d-ad6ab3dde0e5,Disqualification � General Regulations,10.3,,f5a850a9-27d5-47e3-b403-66b346e50b7a,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,cb86e4e8-daef-44af-868b-39305afa401a,Disqualification � Accidental Discharge,10.4,,f5a850a9-27d5-47e3-b403-66b346e50b7a,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,01f99fb1-a941-437a-a05b-5a1bf87d20cd,Disqualification � Unsafe Gun Handling,10.5,,f5a850a9-27d5-47e3-b403-66b346e50b7a,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,d603359d-6d2e-4670-b45f-a879c8d7ad7d,Disqualification � Unsportsmanlike Conduct,10.6,,f5a850a9-27d5-47e3-b403-66b346e50b7a,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,9cbbee4c-d6f0-4246-851d-124712ce4f6c,Disqualification � Prohibited Substances,10.7,,f5a850a9-27d5-47e3-b403-66b346e50b7a,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,14f7d10f-b496-42a7-a045-c24bed7ebaf1,General Principles,11.1,,6920ae54-0fc1-4a8b-8968-653ab455fe43,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,47ea5fa7-05fa-4860-bf90-7409262d5fc5,Composition of Committee,11.2,,6920ae54-0fc1-4a8b-8968-653ab455fe43,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,d5b611eb-8a2b-43e1-b357-d793198fd407,Time Limits and Sequences,11.3,,6920ae54-0fc1-4a8b-8968-653ab455fe43,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,c302abae-ce03-4b84-aeb8-83c9fbf46d20,Fees,11.4,,6920ae54-0fc1-4a8b-8968-653ab455fe43,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,40b00f5d-a24c-4bd9-8aaf-21b53393a7ec,Rules of Procedure,11.5,,6920ae54-0fc1-4a8b-8968-653ab455fe43,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,017fb0a6-5bd6-49e1-bd00-aa7b957d9711,Verdict and Subsequent Action,11.6,,6920ae54-0fc1-4a8b-8968-653ab455fe43,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,2859dbd9-a9f3-4e03-8ae7-517124376e65,Third Party Appeals,11.7,,6920ae54-0fc1-4a8b-8968-653ab455fe43,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,ae886b72-0f94-4bba-b6cc-191a728b7624,Interpretation of Rules,11.8,,6920ae54-0fc1-4a8b-8968-653ab455fe43,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,a7c2cd80-4f8a-41f5-aa50-afb498cd0565,Appendices,12.1,,7957f72a-606a-414a-8709-be578983f0ae,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,0be4d01c-4f4d-4d48-8c1b-a3057e58c8d8,Language,12.2,,7957f72a-606a-414a-8709-be578983f0ae,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,9585e0ed-37cd-4ec9-82ea-cab986a574e7,Disclaimers,12.3,,7957f72a-606a-414a-8709-be578983f0ae,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,8085482a-4160-413c-9541-6a6506ae3a7f,Gender,12.4,,7957f72a-606a-414a-8709-be578983f0ae,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
SECTION,55e8db4d-abdb-4bc4-8978-44ea69d699a8,Glossary,12.5,,7957f72a-606a-414a-8709-be578983f0ae,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
RULE,d0de7dbb-450c-408c-91c0-d53c9e0df208,Safety,1.1.1,IPSC matches must be designed~ constructed and conducted with due consideration to safety.,331ac0bf-9b0a-4038-b3dc-fe59cc5918b5,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
RULE,944f1058-8d36-4b8a-be8b-470e5e1cdb77,Quality,1.1.2,The value of an IPSC match is determined by the quality of the challenge presented in the course design. Courses of fire must be designed primarily to test a competitor�s IPSC shooting skills~ not their physical abilities.,331ac0bf-9b0a-4038-b3dc-fe59cc5918b5,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
RULE,a24ee779-5fd6-4792-a62b-a9049bc196b2,Balance,1.1.3,Accuracy~ Power and Speed are equivalent elements of IPSC shooting~ and are expressed in the Latin words "Diligentia~ Vis~ Celeritas" ("DVC"). A properly balanced course of fire will depend largely upon the nature of the challenges presented therein. However~ courses must be designed~ and IPSC matches must be conducted in such a way~ as to evaluate these elements equally. IPSC Action Air matches are exempt from minimum power considerations (also see Rule 5.6.1).,331ac0bf-9b0a-4038-b3dc-fe59cc5918b5,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
RULE,12460632-c27f-4976-8b56-23ed59eddd42,Diversity,1.1.4,IPSC shooting challenges are diverse. While it is not necessary to construct new courses for each match~ no single course of fire must be repeated to allow its use to be considered a definitive measure of IPSC shooting skills.,331ac0bf-9b0a-4038-b3dc-fe59cc5918b5,0d2ca63a-cdf7-468b-b4a0-7c76e8fa5367
