DISCIPLINE,0eb70609-642f-48f7-86e5-21b08cb298f6,MiniRifle
CHAPTER,b7c0e2a7-77ea-4e56-b36c-30b6744b0c47,Course Design,1,The following general principles of course design list the criteria~ responsibilities and restrictions governing Course Designers as the architects of the sport of IPSC shooting. ,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,3c8e7f85-ac4b-466a-8471-da4e15ca3d8b,Scoring Programs,9.11,9.11.1 ,bd07b023-ae09-4263-9926-c5e9d4a4191b,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,30e0fe72-ca78-44d4-8795-94511ec62467,Procedural Penalties � General Regulations,10.1,,a3eb2e4f-92ac-457e-a1a8-22665710b575,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,b21a07d9-a38f-42a8-8f9a-21133a362c2b,Procedural Penalties � Specific Examples,10.2,,a3eb2e4f-92ac-457e-a1a8-22665710b575,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,f87e76d4-b174-4e0b-9f43-b2f15aea2bd9,Disqualification � General Regulations,10.3,,a3eb2e4f-92ac-457e-a1a8-22665710b575,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,ae83198f-c7d2-4a8c-882c-ce0dd71d9e86,Disqualification � Accidental Discharge,10.4,A competitor who causes an accidental discharge must be stopped by a Range Officer as soon as possible. An accidental discharge is defined as follows: ,a3eb2e4f-92ac-457e-a1a8-22665710b575,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,0ed232ac-6894-4f6e-ab73-67f0418e5f2b,Disqualification � Unsafe Gun Handling,10.5,Examples of unsafe gun handling include~ but are not limited to: ,a3eb2e4f-92ac-457e-a1a8-22665710b575,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,0d8f8648-d489-4637-826b-26ccd641d10b,Disqualification � Unsportsmanlike Conduct,10.6,,a3eb2e4f-92ac-457e-a1a8-22665710b575,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,a2a6ebd4-a295-4148-b775-53a5eb83900a,Disqualification � Prohibited Substances,10.7,,a3eb2e4f-92ac-457e-a1a8-22665710b575,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,7ee626b4-a9e4-47a4-8e5c-b5b7d06694ab,General Principles,11.1,,ea05aa00-2684-4e02-95df-5d6a3d1bd9e6,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,627ba5e2-e818-4ce9-be3d-cbf06a84ed5b,Composition of Committee,11.2,,ea05aa00-2684-4e02-95df-5d6a3d1bd9e6,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,44ce1e4f-a8f2-4ff5-adce-d2c0d986e142,Time Limits and Sequences,11.3,,ea05aa00-2684-4e02-95df-5d6a3d1bd9e6,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,118e317f-7936-427e-b25f-40b749a19c8a,Fees,11.4,,ea05aa00-2684-4e02-95df-5d6a3d1bd9e6,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,c3997fd0-d210-4fb9-bb20-d1da768962a9,Rules of Procedure,11.5,,ea05aa00-2684-4e02-95df-5d6a3d1bd9e6,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,8a668f0e-7399-41b1-a892-27aab9ec3863,Verdict and Subsequent Action,11.6,,ea05aa00-2684-4e02-95df-5d6a3d1bd9e6,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,0a05c53d-82ae-42f3-9a89-c7a2412f98f5,Third Party Appeals,11.7,,ea05aa00-2684-4e02-95df-5d6a3d1bd9e6,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,08a4612a-24b4-45b0-ba10-f47e346b8d1d,Interpretation of Rules,11.8,,ea05aa00-2684-4e02-95df-5d6a3d1bd9e6,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,a9597e73-13bb-466e-98dc-5997b2fc0eb1,Appendices,12.1,All Appendices included herein are an integral part of these rules. ,c4540d48-71cb-4623-abaa-61a2f1786d86,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,744a1c0d-f4f9-4337-8356-b78111f75dbe,Language,12.2,English is the official language of the IPSC Rules. Should there be discrepancies between the English language version of these rules and versions presented in other languages~ the English language version will prevail. ,c4540d48-71cb-4623-abaa-61a2f1786d86,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,83a096b2-d826-40c8-a787-8628e4789a26,Disclaimers,12.3,Competitors and all other persons in attendance at an IPSC match are wholly~ solely and personally responsible to ensure that all and any equipment which they bring to the match is fully in compliance with all laws applicable to the geographical or political area where the match is being held. Neither IPSC nor any IPSC Officers~ nor any organization affiliated to IPSC nor any officers of any organization affiliated to IPSC accepts any responsibility whatsoever in this regard~ nor in respect of any loss~ damage~ accident~ injury or death suffered by any person or entity as a result of the lawful or unlawful use of any such equipment. ,c4540d48-71cb-4623-abaa-61a2f1786d86,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,1cdfc089-ea7f-4389-ac27-52472cfec40c,Gender,12.4,References made herein to the male gender (i.e. "he"~ "his"~ "him") are deemed to include the female gender (i.e. "she"~ "her"). ,c4540d48-71cb-4623-abaa-61a2f1786d86,0eb70609-642f-48f7-86e5-21b08cb298f6
SECTION,44cc184f-1306-4185-a6d3-157e06744568,Glossary,12.5,Throughout these rules~ the following definitions apply: ,c4540d48-71cb-4623-abaa-61a2f1786d86,0eb70609-642f-48f7-86e5-21b08cb298f6
RULE,c5c63ef7-6f8d-4086-8728-93dc21e03427,Safety,1.1.1,IPSC matches must be designed~ constructed and conducted with due consideration to safety.,a5cc2532-4539-459f-92bc-dbfbd6e4bafd,0eb70609-642f-48f7-86e5-21b08cb298f6
RULE,8f2ae28c-465b-4c72-8f25-b4c80f9b70c5,Quality,1.1.2,The value of an IPSC match is determined by the quality of the challenge presented in the course design. Courses of fire must be designed primarily to test a competitor�s IPSC shooting skills~ not their physical abilities.,a5cc2532-4539-459f-92bc-dbfbd6e4bafd,0eb70609-642f-48f7-86e5-21b08cb298f6
RULE,e50015c6-7050-4631-8871-73842782de51,Balance,1.1.3,Accuracy~ Power and Speed are equivalent elements of IPSC shooting~ and are expressed in the Latin words "Diligentia~ Vis~ Celeritas" ("DVC"). A properly balanced course of fire will depend largely upon the nature of the challenges presented therein. However~ courses must be designed~ and IPSC matches must be conducted in such a way~ as to evaluate these elements equally. IPSC Mini Rifle matches are exempt from minimum power considerations (also see Rule 5.6.1).,a5cc2532-4539-459f-92bc-dbfbd6e4bafd,0eb70609-642f-48f7-86e5-21b08cb298f6
RULE,a8bb7291-f0ca-4e33-8be2-3446aaae27f9,Diversity,1.1.4,IPSC shooting challenges are diverse. While it is not necessary to construct new courses for each match~ no single course of fire must be repeated to allow its use to be considered a definitive measure of IPSC shooting skills.,a5cc2532-4539-459f-92bc-dbfbd6e4bafd,0eb70609-642f-48f7-86e5-21b08cb298f6
RULE,d41f7fb4-1a5f-466d-9fe7-ac4813fa1ed2,Freestyle,1.1.5,IPSC matches are freestyle. Competitors must be permitted to solve the challenge presented in a freestyle manner. After the Start Signal~ courses of fire must not require mandatory reloads nor dictate a shooting position~ location or stance~ except as specified below. However~ conditions may be created~ and barriers or other physical limitations may be constructed~ to compel a competitor into shooting positions~ locations or stances.,a5cc2532-4539-459f-92bc-dbfbd6e4bafd,0eb70609-642f-48f7-86e5-21b08cb298f6
RULE,838cb188-5858-464a-b8e1-e8575566e150,Difficulty,1.1.6,IPSC matches present varied degrees of difficulty. No shooting challenge may be appealed as being prohibitive. This does not apply to non-shooting challenges~ which should reasonably allow for differences in competitor's height and physical build.,a5cc2532-4539-459f-92bc-dbfbd6e4bafd,0eb70609-642f-48f7-86e5-21b08cb298f6
RULE,e23ab7e1-eff4-4092-904a-9a7cd355edb1,,1.2.1,General Courses of Fire:,c99e5847-4f4c-4b9d-adb2-e741775d476d,0eb70609-642f-48f7-86e5-21b08cb298f6
RULE,2a8aeb1b-c653-444d-91a7-0dc12c00e570,,1.2.2,Special Courses of Fire:,c99e5847-4f4c-4b9d-adb2-e741775d476d,0eb70609-642f-48f7-86e5-21b08cb298f6
RULE,83d9778d-8ada-4aad-bbc3-39f25704c268,,1.3.1,Match organizers wishing to receive IPSC sanctioning must comply with the general principles of course design and course construction as well as all other current IPSC Rules and regulations relevant to the discipline. Courses of fire that do not comply with these requirements will not be sanctioned~ and must not be publicized or announced as IPSC sanctioned matches.,47e8dfa3-b151-47d1-9f82-c66e7650f8e2,0eb70609-642f-48f7-86e5-21b08cb298f6
RULE,c5313483-e5f4-4592-8702-ba0ea66f9337,,1.3.2,Target arrays and presentations or props included in courses of fire submitted to IPSC~ but deemed by IPSC to be illogical or impractical~ will not be approved (see latest version of the separate Target Array Book).,47e8dfa3-b151-47d1-9f82-c66e7650f8e2,0eb70609-642f-48f7-86e5-21b08cb298f6
RULE,96b35f4d-ded7-475d-8c19-58fcaf66740b,,1.3.3,The IPSC President~ his delegate~ or an officer of the Confederation (in that order)~ may withdraw IPSC sanctioning from a match if~ in his or their opinion~ a match or any component part thereof:,47e8dfa3-b151-47d1-9f82-c66e7650f8e2,0eb70609-642f-48f7-86e5-21b08cb298f6
RULE,f3355d92-5804-4c13-a595-ecd689414aa5,,1.3.4,IPSC match level requirements and recommendations are specified in Appendix A1.,47e8dfa3-b151-47d1-9f82-c66e7650f8e2,0eb70609-642f-48f7-86e5-21b08cb298f6
RULE,ad35ed75-f97a-43a4-98eb-b384fcdd5dca,Physical Construction,2.1.1,Safety considerations in the design~ physical construction~ and stated requirements for any course of fire are the responsibility of the host organization subject to the approval of the Range Master. Reasonable effort must be made to prevent injury to competitors~ officials and spectators during the match. Course design should prevent inadvertent unsafe actions wherever possible. Consideration must be given to the operation of any course of fire to provide suitable access for officials supervising the competitors.,bef7d03d-e167-40a6-8f92-e3ec802fa1c9,0eb70609-642f-48f7-86e5-21b08cb298f6
RULE,4fb561bb-a011-4c46-9f63-555405540655,Safe Angles of Fire,2.1.2,Courses of fire must always be constructed taking into account safe angles of fire. Consideration must be given to safe target and frame construction and the angle of any possible ricochets. Where appropriate the physical dimensions and suitability of backstops and side berms must be determined as part of the construction process. Unless otherwise specified~ the default maximum muzzle angle is 90 degrees in all directions~ measured from the front of the competitor facing directly center downrange. Violations are subject to Rule 10.5.2.,bef7d03d-e167-40a6-8f92-e3ec802fa1c9,0eb70609-642f-48f7-86e5-21b08cb298f6
RULE,11d96b75-6416-4145-ae2b-6a0f22b3c4cc,Minimum Distances,2.1.3,Whenever metal targets or metal hard cover are used in a course of fire~ precautions must be taken so that competitors and Match Officials maintain a minimum distance of 5 meters from them while they are being shot. Where possible~ this should be done with physical barriers. If Fault Lines are used to limit the approach to metal targets~ they must be placed at least 6 meters from the targets so that the competitor may inadvertently fault the line and still be outside the 5 meter minimum distance (see Rule 10.4.7). Care should also be taken in respect of metal props in the line of fire.,bef7d03d-e167-40a6-8f92-e3ec802fa1c9,0eb70609-642f-48f7-86e5-21b08cb298f6
RULE,3ba7b3bb-c71e-4dad-bc25-dcbaa1798bad,Target Locations,2.1.4,When a course is constructed to include target locations other than immediately downrange~ organizers and officials must protect or restrict surrounding areas to which competitors~ officials or spectators have access. Each competitor must be permitted to solve the competitive problem in his own way and must not be hindered by being forced to act in any manner which might cause unsafe action. Targets must be arranged so that shooting at them as presented will not cause competitors to breach safe angles of fire.,bef7d03d-e167-40a6-8f92-e3ec802fa1c9,0eb70609-642f-48f7-86e5-21b08cb298f6
RULE,73498573-9cc9-45fc-9cf9-dc67459014ff,Range Surface,2.1.5,Where possible~ the range surface must be prepared prior to the match~ and be kept moderately clear of debris during the match~ to provide reasonable safety for competitors and officials. Consideration should be given to the possibility of inclement weather and competitor actions. Match Officials may add gravel~ sand or other materials to a deteriorated range surface at any time~ and such range maintenance actions may not be appealed by competitors.,bef7d03d-e167-40a6-8f92-e3ec802fa1c9,0eb70609-642f-48f7-86e5-21b08cb298f6
